0,Actual,ocr1_,ocr1_cl,ocr2_,ocr2_cl,ocr3_,ocr3_cl
BMW-X5-528820c.jpg_0000_0316_0245_0160_0037.png,KA43M2052,KA43M2052N,KA43MZ052,KA4M2052,,KAAM2052,
Chevrolet-Beat-519533g.jpg_0002_0313_0493_0229_0053.png,WB06J5095,WB06J5095,WB06JS095,WB06J5095,WB06JS095,NB06J5095,WB06JS095
Chevrolet-Beat-526749c.jpg_0000_0285_0399_0201_0047.png,DL13CB0545,OL13CBOS545,OR13CB05545,DL13CBO545,DL13CB0545,DL,
Chevrolet-Captiva-524767c.jpg_0029_0460_0242_0120_0032.png,DL13CA3456,242252M,,J4,,13156JP,
Chevrolet-Captiva-525852c.jpg_0354_0164_0224_0118_0030.png,MH15CT4851,MH15CT48S1,MH15CT4851,KH15CTASST,KA15CT4557,KH15CT4SS1,KA15CT4551
Chevrolet-Cruze-514328c.jpg_0000_0160_0173_0136_0046.png,MH02BP5688,MH0BP5088,MH08PS088,,,M02BP5088,MH28PS088
Chevrolet-Cruze-521616c.jpg_0339_0021_0273_0187_0045.png,HR26BS1396,,,,,,
Chevrolet-Cruze-527718h.jpg_0000_0113_0256_0099_0023.png,MH43AN4685,IIHL3AN4885,II41BAN4885,HH43ANLGBSI,HR43AN16851,MHL3ANLGSS,MH13AN1655
Chevrolet-Cruze-527731h.jpg_0000_0362_0166_0118_0075.png,MH15CT4515,,,,,,
Chevrolet-Cruze-528849b.jpg_0358_0317_0268_0198_0054.png,KA34N3007,IKA34N3007I,JK43AN30071,,,IKA34N3UO7ALI,JK43AN3U07411
Chevrolet-Optra-520859b.jpg_0000_0303_0358_0200_0054.png,MH12EM5804,MH12EMS804,MH12EM5804,MH12EM5804,MH12EM5804,MH12EMS5804,MH12EM55804
Chevrolet-Optra-522225d.jpg_0029_0672_0371_0123_0034.png,MH12DY3934,EP,,III,,2,
Chevrolet-Optra-Magnum-527337c.jpg_0000_0152_0207_0104_0028.png,TN20BS5797,T20BS5797,TN08SS797,TR,,TN20BS57807,TN20BS57807
Chevrolet-Optra-SRV-527739d.jpg_0344_0081_0265_0139_0044.png,MH02JP1724,,,,,,
Chevrolet-Spark-527714g.jpg_0347_0105_0196_0112_0034.png,MH02BM3295,,,,,M41NH023299,MH1NHO23299
Chevrolet-Spark-528062d.jpg_0336_0015_0237_0152_0060.png,MH12EM6015,,,I,,2E,
Chevrolet-Spark-528082d.jpg_0000_0558_0308_0073_0054.png,MH42P7600,,,MP,,NIH497JEDO,NI44JT9300
Chevrolet-Tavera-523920b.jpg_0000_0184_0188_0103_0030.png,MP41BC0360,,,P418CINI,,112C380N,
Chevrolet-Tavera-526711c.jpg_0000_0321_0322_0175_0052.png,WB06A2128,IBO2128,,AA2128,,B2128,
Fiat-Grande-Punto-527738f.jpg_0015_0322_0289_0113_0026.png,MH02BT6107,M,,250,,F501,
Ford-Classic-527601c.jpg_0006_0328_0332_0279_0070.png,TN09BK7357,ETNHO9BK7357,OJ8K7357,,,E9BK7357,
Ford-Endeavour-529225d.jpg_0000_0047_0176_0090_0041.png,GJ1KL5960,,,,,30L,
Ford-Fiesta--2006-2011--519819b.jpg_0350_0198_0340_0164_0041.png,MH14AV5091,EMWQQBN5091,BN5091,AAAANSQG91,AP44NSQ691,,
Ford-Fiesta-526825c.jpg_0000_0268_0330_0248_0069.png,MH01YA4487,101YA4487,IO1YAA487,WHO1YA4487,WB01YA4487,MH01YA4487,MH01YA4487
Ford-Figo-514785f.jpg_0357_0255_0474_0280_0042.png,GJ1KN7175,1128,,7J,,2175,
Ford-Figo-521865f.jpg_0000_0277_0338_0263_0068.png,WB06G7172,,,NBO667172,WB06GT172,ME066772,
Ford-Figo-524314d.jpg_0000_0300_0267_0177_0045.png,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256
Ford-Figo-525172c.jpg_0000_0239_0277_0278_0077.png,AP36AH5297,AP36AH5297,AP36AH5297,AP3GAH5297,AP36AH5297,AP36AH5297,AP36AH5297
Ford-Figo-528523c.jpg_0000_0232_0366_0289_0068.png,APAX0048,APO0048,,AP07AX0048,AP07AX0048,,
Ford-Ikon-522629e.jpg_0000_0257_0317_0251_0066.png,MH09BB9894,MH,,MHO93BB9894,MH09BB89894,MH098389894,MH09BB89894
Ford-Ikon-527722b.jpg_0350_0092_0167_0143_0054.png,MH43V8580,,,,,,
