video_name,url,t1_start,t1_stop,t1_cut_duration,t2_start,t2_stop,t2_cut_duration,t3_start,t3_stop,t3_cut_duration,t5_start,t5_stop
Cylinder Blast in Public place diwaliSpecial Prank SumitCool Allahabad.mp4,https://www.youtube.com/watch?v=M2etOt3qJ9c,0:00:31,0:00:43,0:00:12,0:00:57,0:01:31,0:00:34,100:01:04,0:02:33,20:01:29,,
Unbelievable LPG CYLINDER BLAST AND KITCHEN FIREFIRE FIGHTING TECHNIQUE.mp4,https://www.youtube.com/watch?v=E18RC2Xrqv8,0:00:05,0:00:28,0:00:23,0:00:35,0:00:40,0:00:05,0:00:48,0:01:15,0:00:27,,
GAS CYLINDER BLAST LIVE CCTV VIDEO.mp4,https://www.youtube.com/watch?v=Ly-nBsJbc30,0:00:05,0:00:50,0:00:45,,,0,,,0,,
Sky Shot vs Gas Cylinder Experiment यह देखकर आप हैरान रह जाएंगे.mp4,https://www.youtube.com/watch?v=VXWnbI28Oq0,0:00:17,0:00:25,0:00:08,0:00:29,0:00:35,0:00:06,0:00:48,0:01:23,0:00:35,,
Dropping Gas Cylinder From 120 Feet Height Gas Cylinder vs 120 Feet Water Tank Experiment King.mp4,https://www.youtube.com/watch?v=bW1weVTSgvI,0:00:02,0:00:20,0:00:18,0:01:10,0:01:47,0:00:37,0:02:00,0:02:40,0:00:40,,
Gas Cylinder Fire Put Out Massive Blasts Avoided in East China City.mp4,https://www.youtube.com/watch?v=iNNud_z8-3k,0:00:03,0:01:50,0:01:47,,,0,,,0,,
Technique to stop LPG Gas cylinder fire एलपीजी गैस सिलेंडर में आग रोकने की तकनीक.mp4,https://www.youtube.com/watch?v=bYvuMdCNbyA,0:00:02,0:00:57,0:00:55,,,0,,,0,,
Gas Cylinder Blast [2] Md Experiment.mp4,https://www.youtube.com/watch?v=cgjsaDv5UF0,0:01:00,0:03:45,0:02:45,0:04:00,0:04:30,0:00:30,0:04:48,0:08:00,0:03:12,,
Hyderabad gas cylinder prank video.mp4,https://www.youtube.com/watch?v=H_2D5rKwj8I,0:00:02,0:02:49,0:02:47,,,0,,,,,
DIWALI SPECIAL CYLINDER PRANK PRANK IN INDIA BY VJ PAWAN SINGH.mp4,https://www.youtube.com/watch?v=lAWWqrLfdPI,0:01:02,0:01:45,0:00:43,0:03:00,0:07:00,0:04:00,,,,,
